id,name
yks.res_district_623,讷河市 
yks.res_district_624,鸡冠区 
yks.res_district_625,恒山区 
yks.res_district_626,滴道区 
yks.res_district_627,梨树区 
yks.res_district_628,城子河区 
yks.res_district_629,麻山区 
yks.res_district_630,鸡东县 
yks.res_district_631,虎林市 
yks.res_district_632,密山市 
yks.res_district_633,向阳区 
yks.res_district_634,工农区 
yks.res_district_635,南山区 
yks.res_district_636,兴安区 
yks.res_district_637,东山区 
yks.res_district_638,兴山区 
yks.res_district_639,萝北县 
yks.res_district_640,绥滨县 
yks.res_district_641,尖山区 
yks.res_district_642,岭东区 
yks.res_district_643,四方台区 
yks.res_district_644,宝山区 
yks.res_district_645,集贤县 
yks.res_district_646,友谊县 
yks.res_district_647,宝清县 
yks.res_district_648,饶河县 
yks.res_district_649,萨尔图区 
yks.res_district_650,龙凤区 
yks.res_district_651,让胡路区 
yks.res_district_652,红岗区 
yks.res_district_653,大同区 
yks.res_district_654,肇州县 
yks.res_district_655,肇源县 
yks.res_district_656,林甸县 
yks.res_district_657,杜尔伯特蒙古族自治县 
yks.res_district_658,伊春区 
yks.res_district_659,南岔区 
yks.res_district_660,友好区 
yks.res_district_661,西林区 
yks.res_district_662,翠峦区 
yks.res_district_663,新青区 
yks.res_district_664,美溪区 
yks.res_district_665,金山屯区 
yks.res_district_666,五营区 
yks.res_district_667,乌马河区 
yks.res_district_668,汤旺河区 
yks.res_district_669,带岭区 
yks.res_district_670,乌伊岭区 
yks.res_district_671,红星区 
yks.res_district_672,上甘岭区 
yks.res_district_673,嘉荫县 
yks.res_district_674,铁力市 
yks.res_district_675,永红区 
yks.res_district_676,向阳区 
yks.res_district_677,前进区 
yks.res_district_678,东风区 
yks.res_district_679,郊区 
yks.res_district_680,桦南县 
yks.res_district_681,桦川县 
yks.res_district_682,汤原县 
yks.res_district_683,抚远县 
yks.res_district_684,同江市 
yks.res_district_685,富锦市 
yks.res_district_686,新兴区 
yks.res_district_687,桃山区 
yks.res_district_688,茄子河区 
yks.res_district_689,勃利县 
yks.res_district_690,东安区 
yks.res_district_691,阳明区 
yks.res_district_692,爱民区 
yks.res_district_693,西安区 
yks.res_district_694,东宁县 
yks.res_district_695,林口县 
yks.res_district_696,绥芬河市 
yks.res_district_697,海林市 
yks.res_district_698,宁安市 
yks.res_district_699,穆棱市 
yks.res_district_700,爱辉区 
yks.res_district_701,嫩江县 
yks.res_district_702,逊克县 
yks.res_district_703,孙吴县 
yks.res_district_704,北安市 
yks.res_district_705,五大连池市 
yks.res_district_706,北林区 
yks.res_district_707,望奎县 
yks.res_district_708,兰西县 
yks.res_district_709,青冈县 
yks.res_district_710,庆安县 
yks.res_district_711,明水县 
yks.res_district_712,绥棱县 
yks.res_district_713,安达市 
yks.res_district_714,肇东市 
yks.res_district_715,海伦市 
yks.res_district_716,呼玛县 
yks.res_district_717,塔河县 
yks.res_district_718,漠河县 
yks.res_district_719,黄浦区 
yks.res_district_720,卢湾区 
yks.res_district_721,徐汇区 
yks.res_district_722,长宁区 
yks.res_district_723,静安区 
yks.res_district_724,普陀区 
yks.res_district_725,闸北区 
yks.res_district_726,虹口区 
yks.res_district_727,杨浦区 
yks.res_district_728,闵行区 
yks.res_district_729,宝山区 
yks.res_district_730,嘉定区 
yks.res_district_731,浦东新区 
yks.res_district_732,金山区 
